Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,5,10,Teams
KMDN Kulasekara   ,2003-2017,263,277,13061,10075,313,22-May,Aug-58,32.18,4.62,41.7,1,0,SL
LR Gibbs   ,1958-1976,82,151,27271,9048,311,Aug-38,11/157,29.09,1.99,87.6,18,2,WI
FS Trueman   ,1952-1965,67,127,15178,6625,307,31-Aug,12/119,21.57,2.61,49.4,17,3,ENG
NM Lyon   ,2011-2018,88,155,18655,9785,307,Aug-50,13/154,31.87,3.14,60.7,12,2,AUS
CL Hooper   ,1987-2003,329,348,23367,12593,307,26-May,7/178,41.01,3.23,76.1,4,0,WI
CRD Fernando   ,2000-2016,205,227,13066,9896,305,27-Jun,Jul-95,32.44,4.54,42.8,4,0,Asia/SL
AR Caddick   ,1993-2003,116,158,16495,8964,303,Jul-46,10/215,29.58,3.26,54.4,13,1,ENG
SJ Harmison   ,2002-2009,123,174,16313,9715,303,12-Jul,Nov-76,32.06,3.57,53.8,9,1,ENG/ICC
IK Pathan   ,2003-2012,173,195,12201,8986,301,Jul-59,12/126,29.85,4.41,40.5,9,2,INDIA
BKV Prasad   ,1994-2001,194,218,15170,9692,292,Jun-33,10/153,33.19,3.83,51.9,8,1,INDIA
SR Watson   ,2002-2016,307,305,12891,9055,291,Jun-33,Jun-51,31.11,4.21,44.2,3,0,AUS
JE Taylor   ,2003-2018,166,196,12698,9123,291,Jun-47,Sep-95,31.35,4.31,43.6,5,0,WI
AME Roberts   ,1974-1983,103,146,14258,6945,289,Jul-54,12/121,24.03,2.92,49.3,12,2,WI
BAW Mendis   ,2008-2015,145,154,9769,6710,288,08-Jun,10/209,23.29,4.12,33.9,9,1,SL
SR Waugh   ,1985-2004,493,357,16688,10206,287,28-May,8/169,35.56,3.66,58.1,3,0,AUS
DK Morrison   ,1987-1997,144,171,14650,9019,286,Jul-89,Aug-83,31.53,3.69,51.2,12,0,NZ
MJ Hoggard   ,2000-2008,93,148,15215,8716,280,Jul-61,12/205,31.12,3.43,54.3,8,1,ENG
RJ Shastri   ,1981-1992,230,261,22364,10835,280,15-May,8/179,38.69,2.9,79.8,3,0,INDIA
IR Bishop   ,1988-1998,127,159,12739,7036,279,Jun-40,Aug-57,25.21,3.31,45.6,8,0,WI
Danish Kaneria   ,2000-2010,79,130,18551,9765,276,Jul-77,Dec-94,35.38,3.15,67.2,15,2,PAK
Abdur Razzak   ,2004-2014,199,203,11512,8453,274,29-May,29-May,30.85,4.4,42,4,0,BDESH
BS Bedi   ,1966-1979,77,128,21954,7977,273,Jul-98,10/194,29.21,2.18,80.4,14,1,INDIA
L Klusener   ,1996-2004,220,248,14223,8784,272,Aug-64,8/139,32.29,3.7,52.2,7,0,SA
GF Lawson   ,1980-1989,125,157,15377,8093,268,8/112,11/134,30.19,3.15,57.3,11,2,AUS
EJ Chatfield   ,1975-1989,157,185,16425,7576,263,Jun-73,10/124,28.8,2.76,62.4,4,1,NZ
M Dillon   ,1997-2005,146,173,14184,8616,261,29-May,8/123,33.01,3.64,54.3,5,0,WI
SE Bond   ,2001-2010,120,132,8132,5535,259,19-Jun,Oct-99,21.37,4.08,31.3,9,1,NZ
TM Alderman   ,1981-1991,106,138,13552,6672,258,Jun-47,10/151,25.86,2.95,52.5,16,1,AUS
CS Martin   ,2000-2013,97,151,15112,8875,258,26-Jun,11/180,34.39,3.52,58.5,10,1,NZ
KAJ Roach   ,2008-2017,122,155,11636,7392,256,27-Jun,10/146,28.87,3.81,45.4,10,1,WI
JR Thomson   ,1972-1985,101,140,13231,7543,255,Jun-46,9/105,29.58,3.42,51.8,8,0,AUS
PAJ DeFreitas   ,1986-1997,147,179,15550,8475,255,Jul-70,9/165,33.23,3.27,60.9,4,0,ENG
ST Finn   ,2010-2017,126,154,10442,7379,254,Jun-79,9/187,29.05,4.23,41.1,7,0,ENG
Imran Tahir   ,2011-2018,140,155,9098,6605,253,Jul-45,8/130,26.1,4.35,35.9,5,0,SA/World
M Prabhakar   ,1984-1996,169,195,13835,8115,253,6/132,Jun-92,32.07,3.51,54.6,5,0,INDIA
CH Gayle   ,1999-2018,433,317,14650,9236,253,May-34,Jun-81,36.5,3.78,57.9,3,0,ICC/WI
JB Statham   ,1951-1965,70,129,16056,6261,252,Jul-39,Nov-97,24.84,2.33,63.7,9,1,ENG
JDP Oram   ,2001-2012,229,241,12421,7823,252,26-May,Jun-63,31.04,3.77,49.2,2,0,NZ
MG Hughes   ,1985-1994,86,130,13924,7132,250,Aug-87,13/217,28.52,3.07,55.6,7,1,AUS
