Venue,Overs,Madiens,Runs_Given,Wickets_Taken,four_wickets,Avg,Strike_Rate,Econ_Rate
Home,2638.1,788,6483,289,11,22.43,54.77,2.46
Away,2236.3,682,5703,274,18,20.81,48.97,2.55
Overall,4874.4,1470,12186,563,29,21.64,51.95,2.50
