Venue,Overs,Madiens,Runs_Given,Wickets_Taken,four_wickets,Avg,Strike_Rate,Econ_Rate
Home,332.2,18,1551,67,4,23.15,29.76,4.67
Away,1784.0,125,8368,349,23,23.98,30.67,4.69
Overall,2116.2,143,9919,416,27,23.84,30.52,4.69
