Venue,Overs,Madiens,Runs_Given,Wickets_Taken,four_wickets,Avg,Strike_Rate,Econ_Rate
Home,3053.3,800,8746,368,21,23.77,49.79,2.86
Away,2409.4,579,6924,216,7,32.06,66.94,2.87
Overall,5463.1,1379,15670,584,28,26.83,56.13,2.87
