Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5
M Muralitharanÿ(Asia/ICC/SL),1993-2011,350,341,18811,12326,534,Jul-30,23.08,3.93,35.2,15,10
Wasim Akramÿ(PAK),1984-2003,356,351,18186,11812,502,May-15,23.52,3.89,36.2,17,6
Waqar Younisÿ(PAK),1989-2003,262,258,12698,9919,416,Jul-36,23.84,4.68,30.5,14,13
WPUJC Vaasÿ(Asia/SL),1994-2008,322,320,15775,11014,400,Aug-19,27.53,4.18,39.4,9,4
Shahid Afridiÿ(Asia/ICC/PAK),1996-2015,398,372,17670,13632,395,07-Dec,34.51,4.62,44.7,4,9
SM Pollockÿ(Afr/ICC/SA),1996-2008,303,297,15712,9631,393,Jun-35,24.5,3.67,39.9,12,5
GD McGrathÿ(AUS/ICC),1993-2007,250,248,12970,8391,381,Jul-15,22.02,3.88,34,9,7
B Leeÿ(AUS),2000-2012,221,217,11185,8877,380,May-22,23.36,4.76,29.4,14,9
A Kumbleÿ(Asia/INDIA),1990-2007,271,265,14496,10412,337,06-Dec,30.89,4.3,43,8,2
ST Jayasuriyaÿ(Asia/SL),1989-2011,445,368,14874,11871,323,Jun-29,36.75,4.78,46,8,4
J Srinathÿ(INDIA),1991-2003,229,227,11935,8847,315,May-23,28.08,4.44,37.8,7,3
