	127. Aamir (2008) 	7.7 	
	128. Veer-Zaara (2004) 	7.7 	
	129. Earth (1998) 	7.7 	
	130. Newton (2017) 	7.7 	
	131. Manorama Six Feet Under (2007) 	7.7 	
	132. Agneepath (1990) 	7.7 	
	133. Pyaar Ka Punchnama (2011) 	7.7 	
	134. Eega (2012) 	7.7 	
	135. Neerja (2016) 	7.7 	
	136. Madras Cafe (2013) 	7.7 	
	137. Sarkar (2005) 	7.7 	
	138. Bheja Fry (2007) 	7.6 	
	139. Darr (1993) 	7.6 	
	140. Kabhi Haan Kabhi Naa (1994) 	7.6 	
	141. Tanu Weds Manu Returns (2015) 	7.6 	
	142. Kuch Kuch Hota Hai (1998) 	7.6 	
	143. Kai po che! (2013) 	7.6 	
	144. 24 (2016) 	7.6 	
	145. Rockstar (2011) 	7.6 	
	146. Saala Khadoos (2016) 	7.6 	
	147. Baazigar (1993) 	7.6 	
	148. Highway (2014) 	7.6 	
	149. Magadheera (2009) 	7.6 	
	150. M.S. Dhoni: The Untold Story (2016) 	7.6 	
	151. Wake Up Sid (2009) 	7.6 	
	152. Jodhaa Akbar (2008) 	7.6 	
	153. Piku (2015) 	7.5 	
	154. Dil Se.. (1998) 	7.5 	
	155. Aankhen (2002) 	7.5 	
	156. Detective Byomkesh Bakshy! (2015) 	7.5 	
	157. Delhi Belly (2011) 	7.5 	
	158. Devdas (2002) 	7.5 	
	159. Kaththi (2014) 	7.5 	
	160. Qayamat Se Qayamat Tak (1988) 	7.5 	
	161. Raanjhanaa (2013) 	7.5 	
	162. Thuppakki (2012) 	7.5 	
	163. 1 - Nenokkadine (2014) 	7.5 	
	164. The Ghazi Attack (2017) 	7.5 	
	165. Khakee (2004) 	7.5 	
	166. October (2018) 	7.5 	
	167. Amar Akbar Anthony (1977) 	7.5 	
	168. Rocket Singh: Salesman of the Year (2009) 	7.5 	
	169. Trapped (2016) 	7.5 	
	170. Hum Dil De Chuke Sanam (1999) 	7.5 	
	171. Hungama (2003) 	7.5 	
	172. Ghilli (2004) 	7.5 	
	173. Hum Aapke Hain Koun...! (1994) 	7.5 	
	174. Socha Na Tha (2005) 	7.5 	
	175. Shaadi Mein Zaroor Aana (2017) 	7.5 	
	176. Rangeela (1995) 	7.5 	
	177. Jaane Tu... Ya Jaane Na (2008) 	7.5 	
	178. Madaari (2016) 	7.5 	
	179. Ghajini (2005) 	7.5 	
	180. Dum Laga Ke Haisha (2015) 	7.5 	
	181. Chillar Party (2011) 	7.5 	
	182. Peepli (Live) (2010) 	7.4 	
	183. Mankatha (2011) 	7.4 	
	184. Jolly LLB (2013) 	7.4 	
	185. Bharat Ane Nenu (2018) 	7.4 	
	186. Baghban (2003) 	7.4 	
	187. Sivaji (2007) 	7.4 	
	188. Chachi 420 (1997) 	7.4 	
	189. Badlapur (2015) 	7.4 	
	190. Kabhi Khushi Kabhie Gham... (2001) 	7.4 	
	191. Yuva (2004) 	7.4 	
	192. Guzaarish (2010) 	7.4 	
	193. Bareilly Ki Barfi (2017) 	7.4 	
